0.0839,0.3896,0.6539,0.4286,0.5286,0.4190,0.7605,0.2999,0.2374,0.6656,0.8460,0.8223,0.5599,0.3297,0.5112,0.5329,0.8827,0.7444,0.5359,0.3507,0.7065,0.7102,0.9328,0.8724,0.9001,0.8634,0.2724,0.6441,0.5988,0.8241,0.8076,0.6968,0.8193,0.7011,0.7990,0.2967,0.7732,0.8201,0.5523,0.5505,0.4358,0.5805,0.5712,0.9018,0.7500,0.6682,0.8706,0.7510,0.6642,0.8857,0.7242,0.7811,0.8375,0.8594,0.7504,0.8750
0.4438,0.4055,0.5736,0.4932,0.8828,0.5840,0.6883,0.4218,0.5882,0.7718,0.3280,0.5181,0.7924,0.4072,0.3684,0.4288,0.5279,0.7335,0.5522,0.6703,0.5367,0.4358,0.3867,0.3646,0.4142,0.4364,0.1925,0.5727,0.2989,0.4106,0.3225,0.4761,0.5491,0.1256,0.4569,0.3636,0.5070,0.5734,0.2576,0.4311,0.0717,0.4188,0.2345,0.5088,0.4696,0.2434,0.4585,0.4472,0.5246,0.5309,0.4498,0.4362,0.5070,0.4213,0.4346,0.5323
0.1329,0.3308,0.4312,0.6053,0.7070,0.5697,0.6707,0.4152,0.4383,0.7760,0.6729,0.8347,0.6110,0.4358,0.5333,0.5770,0.8650,0.6667,0.4936,0.4677,0.5486,0.6060,0.7600,0.7382,0.7631,0.7362,0.2794,0.6554,0.6141,0.7050,0.6295,0.6142,0.8538,0.5723,0.7025,0.2507,0.8211,0.7675,0.5814,0.4575,0.4211,0.4692,0.5402,0.8130,0.6330,0.5924,0.6934,0.7110,0.5484,0.8039,0.7431,0.6300,0.7602,0.8382,0.6022,0.7952
0.5929,0.5563,0.5925,0.4029,0.4389,0.3260,0.5459,0.1777,0.1773,0.3977,0.5548,0.4515,0.4485,0.4050,0.3813,0.6729,0.4146,0.5618,0.4105,0.3276,0.4720,0.4058,0.4492,0.5728,0.5636,0.5561,0.0294,0.4221,0.0378,0.4279,0.5039,0.5992,0.2892,0.0619,0.4497,0.5593,0.1699,0.6478,-0.1044,0.7137,-0.2214,0.6705,-0.1280,0.3547,0.6658,0.0398,0.5442,0.4189,0.6852,0.4133,0.0635,0.6377,0.6169,0.2362,0.6620,0.5526
-0.0902,0.3807,0.7402,0.3464,0.4049,0.4389,0.7790,0.4487,0.4202,0.6921,0.8708,0.7228,0.6396,0.3678,0.4000,0.4861,0.7915,0.8334,0.6064,0.5186,0.8230,0.7687,0.9197,0.8249,0.8925,0.7979,0.3114,0.5440,0.6169,0.7377,0.7951,0.6299,0.8176,0.7997,0.8767,0.1162,0.7968,0.7649,0.6311,0.4197,0.5439,0.4639,0.5960,0.8629,0.6308,0.7392,0.8417,0.7840,0.5395,0.8353,0.7149,0.6845,0.8443,0.8834,0.6582,0.8505
0.1999,0.4518,0.5041,0.4958,0.6747,0.4889,0.7777,0.3193,0.3780,0.7471,0.7030,0.7846,0.6332,0.3872,0.4016,0.6032,0.8451,0.7375,0.5795,0.4434,0.5859,0.6399,0.7807,0.7636,0.8136,0.8013,0.2601,0.6939,0.5532,0.7703,0.6979,0.6819,0.8390,0.5494,0.7103,0.3619,0.8400,0.8160,0.5717,0.5683,0.3513,0.5814,0.5070,0.8077,0.7353,0.5747,0.7741,0.7038,0.6457,0.8408,0.7772,0.7336,0.7804,0.7800,0.7074,0.8342
0.1473,0.4460,0.6983,0.4685,0.5840,0.4752,0.8226,0.2237,0.1853,0.7520,0.8270,0.7553,0.6819,0.2433,0.4238,0.5569,0.8580,0.8219,0.4514,0.2783,0.6913,0.6119,0.9039,0.8535,0.9019,0.8650,0.2841,0.5658,0.5266,0.8011,0.8001,0.7339,0.7321,0.6489,0.8109,0.3418,0.6653,0.8440,0.4601,0.5998,0.3557,0.6314,0.5144,0.8290,0.7789,0.6408,0.9160,0.7533,0.7378,0.8898,0.6444,0.8142,0.8567,0.7920,0.7861,0.8884
0.3244,0.5192,0.7691,0.3078,0.4284,0.1968,0.7620,0.2257,0.2191,0.5358,0.8805,0.6971,0.5545,0.3300,0.3642,0.5778,0.7492,0.7602,0.6018,0.4172,0.7915,0.7395,0.8766,0.9056,0.9094,0.9148,0.1741,0.7302,0.4457,0.8082,0.8416,0.7734,0.7913,0.5514,0.6956,0.5227,0.6690,0.8138,0.3337,0.7215,0.1929,0.7574,0.3528,0.8858,0.8742,0.4843,0.9172,0.6267,0.7758,0.8312,0.5675,0.9074,0.7828,0.7617,0.8778,0.8289
0.0493,0.3998,0.6227,0.4899,0.5427,0.4309,0.7815,0.2617,0.2613,0.7035,0.8215,0.8494,0.5670,0.2685,0.4235,0.5834,0.9200,0.7664,0.4844,0.3285,0.6777,0.6566,0.9211,0.8471,0.9331,0.8733,0.2972,0.6493,0.6513,0.8276,0.8059,0.7123,0.8244,0.7210,0.8534,0.2785,0.7671,0.8753,0.5673,0.5437,0.4657,0.5717,0.6122,0.9236,0.7517,0.7186,0.8707,0.8154,0.6366,0.9360,0.7380,0.7718,0.8846,0.8922,0.7422,0.9269
0.0561,0.3916,0.6716,0.3865,0.4877,0.3224,0.7383,0.3111,0.2767,0.6282,0.8681,0.7932,0.5191,0.3323,0.3912,0.5450,0.8787,0.7378,0.5721,0.4031,0.7539,0.7399,0.9287,0.8724,0.9376,0.8827,0.2736,0.6775,0.6379,0.8317,0.8321,0.7011,0.8660,0.7371,0.8182,0.2871,0.8002,0.8323,0.5671,0.5481,0.4578,0.5831,0.5963,0.9421,0.7590,0.6925,0.8807,0.7625,0.6292,0.9056,0.7435,0.7896,0.8476,0.9040,0.7594,0.8887
0.2755,0.5660,0.8095,0.3518,0.5060,0.3427,0.8488,0.1642,0.1393,0.6446,0.8855,0.7210,0.6457,0.2392,0.3895,0.5870,0.7954,0.8566,0.5216,0.3341,0.7956,0.6954,0.8924,0.9184,0.9405,0.9381,0.2031,0.6384,0.4053,0.8054,0.8501,0.8283,0.7304,0.5354,0.7721,0.5322,0.6068,0.8708,0.2914,0.7678,0.1701,0.7989,0.3271,0.8513,0.9064,0.4992,0.9338,0.6904,0.8463,0.8545,0.5064,0.9289,0.8593,0.7367,0.9167,0.8853
0.1929,0.4033,0.7657,0.3168,0.3592,0.3333,0.7365,0.3530,0.3272,0.5917,0.8877,0.6531,0.6078,0.3274,0.3379,0.4900,0.7486,0.7791,0.6306,0.5067,0.8223,0.7576,0.8953,0.8701,0.8915,0.8552,0.2493,0.6644,0.5106,0.7684,0.8358,0.6850,0.7938,0.6754,0.7376,0.3368,0.7063,0.7320,0.4409,0.5740,0.3446,0.6223,0.4684,0.8744,0.7530,0.5781,0.8856,0.6333,0.6786,0.8023,0.6167,0.8080,0.7604,0.7971,0.7892,0.7865
0.4032,0.5779,0.6283,0.4801,0.6165,0.4321,0.7917,0.1876,0.3042,0.6503,0.7478,0.7621,0.5952,0.3802,0.4235,0.6927,0.8171,0.7444,0.5092,0.4105,0.6023,0.5755,0.7822,0.8321,0.8605,0.8915,0.1736,0.7439,0.4216,0.7731,0.7455,0.8204,0.7482,0.4182,0.7146,0.5933,0.6261,0.9096,0.2876,0.7654,0.1204,0.7809,0.3005,0.8564,0.8884,0.4497,0.8265,0.6922,0.8091,0.8651,0.5353,0.8761,0.8462,0.7208,0.8576,0.8862
0.1621,0.4553,0.7258,0.3522,0.4808,0.2543,0.7384,0.3028,0.2582,0.5860,0.8979,0.7738,0.5189,0.3494,0.4005,0.5551,0.8284,0.7439,0.6084,0.4402,0.7978,0.7692,0.9089,0.9033,0.9380,0.9098,0.2220,0.7183,0.5620,0.8373,0.8490,0.7416,0.8601,0.6667,0.7732,0.3907,0.7749,0.8323,0.4831,0.6339,0.3498,0.6690,0.4977,0.9340,0.8219,0.6077,0.8983,0.7080,0.6980,0.8764,0.6848,0.8515,0.8303,0.8609,0.8228,0.8712
