0.7166,0.3737,0.3933,0.1294,0.4748,0.8458,0.6555,0.8433,0.5496,0.7959,0.5185,0.8683,0.7832,0.9065,0.6608,0.9281,0.9632,0.8440,0.9049,0.9155,0.9402,0.9152,0.9308
0.5169,0.6378,0.6954,0.7248,0.5780,0.5700,0.7008,0.5214,0.6041,0.5451,0.5810,0.3668,0.3695,0.4799,0.7104,0.3351,0.4781,0.3953,0.3781,0.4879,0.4418,0.4466,0.4324
0.7142,0.4888,0.4152,0.3556,0.4366,0.7947,0.7028,0.7258,0.4132,0.7746,0.3219,0.7373,0.6103,0.8048,0.6961,0.7548,0.8135,0.6514,0.7049,0.7430,0.7518,0.7260,0.7586
0.2763,0.4672,0.4144,0.3177,0.4615,0.3681,0.4455,0.4613,0.5966,0.2698,0.5906,0.3186,0.4075,0.4591,0.4670,0.3776,0.4575,0.5196,0.4914,0.5177,0.5249,0.5559,0.4196
0.6618,0.2888,0.5959,0.2976,0.5866,0.7944,0.4985,0.8962,0.6669,0.8318,0.6083,0.9336,0.8555,0.8287,0.5341,0.9138,0.8748,0.8522,0.8744,0.8580,0.9322,0.9133,0.9559
0.7164,0.5262,0.4613,0.3824,0.4627,0.8159,0.7933,0.7879,0.4159,0.7779,0.4049,0.7549,0.6781,0.8885,0.7471,0.8287,0.8972,0.7285,0.7636,0.8474,0.8333,0.8127,0.8250
0.6488,0.3756,0.5158,0.2240,0.4627,0.7614,0.6594,0.8756,0.5985,0.6899,0.5745,0.8575,0.8223,0.8731,0.5946,0.9203,0.9547,0.8167,0.9561,0.9444,0.9548,0.9427,0.9385
0.7073,0.5174,0.4075,0.1151,0.6296,0.8298,0.6647,0.8194,0.6687,0.7853,0.6798,0.7569,0.8592,0.9528,0.8097,0.9366,0.9620,0.9171,0.9160,0.9728,0.9337,0.9408,0.9002
0.7839,0.4588,0.4267,0.1943,0.4138,0.8373,0.7396,0.9079,0.4963,0.8433,0.4935,0.9174,0.8120,0.9547,0.6929,0.9538,0.9747,0.8248,0.8700,0.9315,0.9557,0.9279,0.9656
0.7870,0.4347,0.3785,0.1104,0.5369,0.8654,0.6912,0.8768,0.5640,0.8726,0.5440,0.8997,0.8566,0.9663,0.7296,0.9781,0.9810,0.8969,0.9046,0.9404,0.9637,0.9419,0.9642
0.6019,0.3612,0.5109,0.1712,0.5805,0.7745,0.6265,0.8431,0.6977,0.6868,0.7350,0.7989,0.8229,0.9235,0.6716,0.9054,0.9623,0.8587,0.9116,0.9929,0.9659,0.9764,0.9329
0.7417,0.4728,0.5506,0.2582,0.6636,0.8126,0.5712,0.8009,0.6762,0.8215,0.6522,0.8076,0.8870,0.8969,0.7225,0.9489,0.9299,0.9789,0.9408,0.9341,0.9404,0.9386,0.9138
0.7072,0.6192,0.4609,0.3118,0.5198,0.8047,0.7981,0.7813,0.5152,0.7241,0.5773,0.7197,0.6937,0.9189,0.8411,0.8303,0.9184,0.7479,0.7553,0.9205,0.8500,0.8495,0.8377
0.7623,0.4634,0.4013,0.1062,0.5940,0.8730,0.6840,0.8501,0.6210,0.8543,0.6276,0.8478,0.8521,0.9695,0.7785,0.9741,0.9798,0.9199,0.9179,0.9610,0.9608,0.9524,0.9450
0.7501,0.3397,0.4749,0.1228,0.5313,0.8257,0.5980,0.8896,0.5838,0.8504,0.5472,0.9367,0.8770,0.9284,0.6374,0.9660,0.9580,0.8914,0.9190,0.9172,0.9722,0.9509,0.9771
