1342.4852,1443.8303,1341.1765,1360.3401,1437.2637,1423.5023,1237.4269,1247.1122,1657.8574
1800748124623400514109675720639929960660432573178847980375509785951698272773416129957773597190995836928.0000,1230448966546166308730578444283081550549148323921976265202276899960514423084013040831070672449039237120.0000,116784243624266010101861567187101155328.0000,239768895223070401569896211568087346514009883737496698402763545787170441120925329411961361166823919512010009646218299216114340671889849781382783062323504820893171559429167999192654135121452507345140580352.0000,14936620911382079265902299680141505897299046094069652588348584641863758540880141676925832554566104734343997016862216990346692263936.0000,1413961395625113849298049110637943512699655131767379155797827305555129491698461695237838911514788421104041984.0000,inf,inf,inf
968249373938849128872783524755491327784444895624067797550575290410794557217044574125424640.0000,6489108813917678291661434708102794800926516247003136.0000,147129803145962644862032389708604304538555978554081644904448.0000,499709360725404114860243522041603080998880180972062121136755021194747363793037057597492137311549091416822380411625998384884457587648261359601776614053924180313048260542464.0000,4862121570465132620617578178159523702402223332266777950673714158091012599518337285686839258678092538505367944919314549732788451166650368.0000,608273279125859287479506009331712457379837146092468856289927102464.0000,1636142959368164814972305754445845005622444617768852828506666175500289606018099871242083032234015092739206101548731217994453802630842877364769377506438388771899392708712526873252022506890083154987928175682865011774398864270924685524607052331990753907460460347885585756187925512324347940831232.0000,inf,40384500463981875359768743413921192151828216529284311423460858939839026856785043969438708835025181770632327380529859184249778186988845669579420183758856534047827002157441950616582751304518781107533362166203775200640756842735237136045529341452593718885719442420940189568308641932376493008491475107840.0000
207096073605563888068833016580704945357204611312487474071823718547456.0000,178311021270506393426597854671380687624298590335671040636355516301312.0000,1275590192265785245696.0000,3140488428228577549350152230958911863354018153669595229761381057932075130380251472197314289042405370066143922494636032.0000,171190469569779585370571139682331207408511863930092033506385028723191374244199356826063610628334944256.0000,31854792793298983207447727686824135184879932038128995246497144504320.0000,76183690392481239796733780773117231241362366441206671985170785503513273290937997187387687542388907709107202251201098238150405572069921076817139305777960102901287738550867053867551374448787456.0000,1301467155652626440694051292841768311535085306538305102528268302291117860045646385224475800604430334525680020482715143876986687699077634252011294037392441528429045901495600254832659374890537861544433204547004107390451712.0000,41420234340663365954194612497118896471593595093333091313925871896174438156557899929060382329648320404672093181833762277224557971517729127119568045768583299491644298692557936480983526065820002422692106589287017355999185843129528611648504244974171517498320855632969728.0000
121811899334348547980057257831145695870976.0000,1548142565879542448128.0000,990580502338265939968.0000,18292246540199869447866318304582334320982101277169562307020902394494976.0000,216206488460988969373048869748337302125713826175917966229504.0000,949945392023227007265406976.0000,8772018733203487603555256898120625151919959339746949387277876686756578966987613900685882110778906579293993453674823680.0000,196869747476405965910059750246054096554965800542856635017619172760964993017482395361041008792527665431030805988797916774994569352378987151622144.0000,184031562265513764400625167900241025515760573056785891775725100650303659235911290816007561176704707991009576878080.0000
6709959840219027664332026902058926122929747532972032.0000,2727901333638307378494736745513026266446430208.0000,44075599135516635365900288.0000,197833228350673821750048972511097559274929352334654700711089083811782010218067280946495953148313600.0000,11118646179644800977452908778396620098719153174374894428875653120.0000,10879577031258499373231818339339620950397465137250304.0000,142665317300617374434709395488627975762072758363476961350277246182692940121430050163481095579946154227210875287698402465812550384324610673551680869217732428508879126528.0000,8905930372285339957138729712096634689814297774619211727593711467604161148165864781878799718406220626516634534978033239502059991590025216758652543706151829299018134830505951705848240679509813100544.0000,3430325136716754038978949209788492162765409293576657637500040451759800909489124890032823827930550148484864309995601821651646977164966760295892860434336238884022984198481398584031056191629033472.0000
832740856683047881032962429209253433573376.0000,29306704964136779252873816281193274801714626560.0000,929577506391330688.0000,1507539305820616464252150522006858664207986630309955296690862819846779830272.0000,2261479405542275123495515473781995823110413090816.0000,2013660790328552390133725064054612942651392.0000,2600566348993167881753840479018484791797474147085234874558969792751969679208140761941317810716361808318394714253315459635626298765737984.0000,6285261841024179064678635327446500323181406404947510961877857952218185899963478326833469051598421419762766634793803937351260541957384785193508874928376512512.0000,31637173281453440392570942465307548406596097021204560163100183281560528860791035317858076515722236796425326081880130820164848866579846266880.0000
12541804003935372086310210633728.0000,9426973163565948593044754897305600.0000,106733729992.6701,107517071300546812816392012610221693684552040364113920.0000,26330783750069906462472641601077248.0000,4422888560543265259117447479296.0000,152534186959068777765380702630619238030785418521401216578854801652901078179405169155899392.0000,11078212668104189672239908041565012115123824645098429249475977090576680574245393192432335925596565536768.0000,957587549902242500010451473492373081919655277496948196412233139465758272053558237768443756544.0000
62147230373373448563027361517025389182976.0000,30180152953453811123775402670030848.0000,1338134581804655360.0000,1403619306847114248070083099860845470813381342527488.0000,1354956273499698551045490960354199043421169564435254704320148523712512.0000,342839144024326004970288888938496.0000,7252290653578173719425496839588276079884170998348963575558339426128149032481987381181402027393024.0000,2072936697636293907436608488117132865109053365877620234132826950159387712126696454186233495552.0000,779768396093265713208035933975259990217691827290730922518306402014679207074729863167940651469994893246464.0000
17639645857786990952448.0000,1838054857012460288.0000,16059078537.8063,1343670069713085189324800.0000,2498068351994235341425887120719872.0000,796173650992098816.0000,53377231693968159285870502708684585808575353323520.0000,461833803176823710587768687022350694390693888.0000,75611155497339681942358804209596433956864.0000
2514338842669511344128.0000,620655990303980416.0000,437451387.7911,579190336199260439697808162816.0000,22198193605497627548690721800192.0000,2395684977030336000.0000,466996921991402395755129973578595629541343956146585600.0000,420138065558605509136652693150809099164557612007861256192.0000,7928208357282377342072434061417456395666052990156966841024512.0000
762432137737.0725,106456212057.4424,379261910.9366,66998262941.0339,10258262834382832140288.0000,18754032906568.0391,65415206246822.3438,496946551146925583761408.0000,837248379232943616.0000
